fd60	02	0	03	0	ff	ff	05	0
fd68	ff	ff	07	0	ff	ff	ff	ff
fd70	ff	ff	0b	0	ff	ff	0d	0
fd78	ff	ff	ff	ff	ff	ff	11	0
fd80	ff	ff	13	0	ff	ff	ff	ff
fd88	ff	ff	17	0	ff	ff	ff	ff
fd90	ff	ff	ff	ff	ff	ff	1d	0
fd98	ff	ff	1f	0	ff	ff	ff	ff
fda0	ff	ff	ff	ff	ff	ff	25	0
fda8	ff	ff	ff	ff	ff	ff	29	0
fdb0	ff	ff	2b	0	ff	ff	ff	ff
fdb8	ff	ff	2f	0	ff	ff	ff	ff
fdc0	ff	ff	ff	ff	ff	ff	35	0
fdc8	ff	ff	ff	ff	ff	ff	ff	ff
fdd0	ff	ff	3b	0	ff	ff	3d	0
fdd8	ff	ff	ff	ff	ff	ff	ff	ff
fde0	ff	ff	43	0	ff	ff	ff	ff
fde8	ff	ff	47	0	ff	ff	49	0
fdf0	ff	ff	ff	ff	ff	ff	ff	ff
fdf8	ff	ff	4f	0	ff	ff	ff	ff
fe00	ff	ff	53	0	ff	ff	ff	ff
fe08	ff	ff	ff	ff	ff	ff	59	0
fe10	ff	ff	ff	ff	ff	ff	ff	ff
fe18	ff	ff	ff	ff	ff	ff	61	0
fe20	ff	ff	ff	ff	ff	ff	65	0
fe28	ff	ff	67	0	ff	ff	ff	ff
fe30	ff	ff	6b	0	ff	ff	6d	0
fe38	ff	ff	ff	ff	ff	ff	71	0
fe40	ff	ff	ff	ff	ff	ff	ff	ff
fe48	ff	ff	ff	ff	ff	ff	ff	ff
fe50	ff	ff	ff	ff	ff	ff	ff	ff
fe58	ff	ff	7f	0	ff	ff	ff	ff
fe60	ff	ff	83	0	ff	ff	ff	ff
fe68	ff	ff	ff	ff	ff	ff	89	0
fe70	ff	ff	8b	0	ff	ff	ff	ff
fe78	ff	ff	ff	ff	ff	ff	ff	ff
fe80	ff	ff	ff	ff	ff	ff	95	0
fe88	ff	ff	97	0	ff	ff	ff	ff
fe90	ff	ff	ff	ff	ff	ff	9d	0
fe98	ff	ff	ff	ff	ff	ff	ff	ff
fea0	ff	ff	a3	0	ff	ff	ff	ff
fea8	ff	ff	a7	0	ff	ff	ff	ff
feb0	ff	ff	ff	ff	ff	ff	ad	0
feb8	ff	ff	ff	ff	ff	ff	ff	ff
fec0	ff	ff	b3	0	ff	ff	b5	0
fec8	ff	ff	ff	ff	ff	ff	ff	ff
fed0	ff	ff	ff	ff	ff	ff	ff	ff
fed8	ff	ff	bf	0	ff	ff	c1	0
fee0	ff	ff	ff	ff	ff	ff	c5	0
fee8	ff	ff	c7	0	ff	ff	ff	ff
fef0	ff	ff	0	0	0	0	0	0
